"path","functional_area","disposition","v2_destination_or_replacement","reason","required_invariant_to_preserve","migration_milestone","inspection_basis","source_lines","internal_imports","inbound_imports"
"src/ai4s_agent/__init__.py","legacy package boundary","ARCHIVE","none (frozen v1 only)","Package initialization has no independent Core v2 contract or authority.","Core v2 does not depend on legacy package initialization side effects.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","6","1","0"
"src/ai4s_agent/_utils.py","core persistence utilities","MIGRATE","src/molly/core/_utils.py; src/molly/core/ledger.py","Retain canonicalization, digest, time, locking, and atomic-write helpers without the legacy package dependency.","Canonical serialization and atomic persistence are deterministic and content-addressed.","CORE-01","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","144","0","0"
"src/ai4s_agent/actor_identity.py","legacy v1 package","ARCHIVE","none (frozen v1 only)","Retain this v1 implementation in the immutable rollback line; it is not a Core v2 authority.","Frozen v1 behavior remains recoverable and is not imported by the Core v2 runtime.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","87","0","0"
"src/ai4s_agent/adapter_bindings.py","legacy adapter binding","ARCHIVE","none (frozen v1 only)","The v1 adapter binding layer is frozen; bounded v2 providers will declare their own contracts.","Core v2 has no implicit adapter registry or hidden provider binding.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","211","2","0"
"src/ai4s_agent/adapters/__init__.py","legacy package boundary","ARCHIVE","none (frozen v1 only)","Package initialization has no independent Core v2 contract or authority.","Core v2 does not depend on legacy package initialization side effects.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","177","13","0"
"src/ai4s_agent/adapters/br2_contextual_mapping.py","adapter and integration boundary","SIMPLIFY","src/molly/evidence/mapping.py","Retain schema-valid contextual mapping and evidence binding without conversation, authority, or publication wrappers.","Mapped claims remain bound to source locators and input artifact digests.","CORE-05","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","841","15","0"
"src/ai4s_agent/adapters/claude_scripts.py","adapter and integration boundary","ARCHIVE","none (frozen v1 only)","Demo and bounded-controller wrappers belong to the frozen v1 execution surface.","No demo or controller wrapper becomes a Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","57","0","0"
"src/ai4s_agent/adapters/contract_validation.py","adapter and integration boundary","MIGRATE","src/molly/core/validation.py","Retain bounded schema and contract validation primitives.","Invalid tool, artifact, and evidence records fail closed before execution or publication.","CORE-01,CORE-02","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","91","1","0"
"src/ai4s_agent/adapters/oled_bounded_discovery_controller.py","adapter and integration boundary","ARCHIVE","none (frozen v1 only)","Demo and bounded-controller wrappers belong to the frozen v1 execution surface.","No demo or controller wrapper becomes a Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","78","2","0"
"src/ai4s_agent/adapters/oled_candidate_decision.py","adapter and integration boundary","MIGRATE","src/molly/domains/oled/ or src/molly/evidence/","Retain pure domain extraction and validation behavior behind bounded Core v2 contracts.","Domain records preserve units, conditions, source locators, and content lineage.","CORE-05","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","117","2","0"
"src/ai4s_agent/adapters/oled_demo.py","adapter and integration boundary","ARCHIVE","none (frozen v1 only)","Demo and bounded-controller wrappers belong to the frozen v1 execution surface.","No demo or controller wrapper becomes a Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","47","2","0"
"src/ai4s_agent/adapters/oled_experiment_batch_selection.py","adapter and integration boundary","MIGRATE","src/molly/domains/oled/ or src/molly/evidence/","Retain pure domain extraction and validation behavior behind bounded Core v2 contracts.","Domain records preserve units, conditions, source locators, and content lineage.","CORE-05","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","198","3","0"
"src/ai4s_agent/adapters/oled_generated_candidate_evaluation.py","adapter and integration boundary","MIGRATE","src/molly/domains/oled/ or src/molly/evidence/","Retain pure domain extraction and validation behavior behind bounded Core v2 contracts.","Domain records preserve units, conditions, source locators, and content lineage.","CORE-05","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","135","2","0"
"src/ai4s_agent/adapters/oled_inverse_design.py","adapter and integration boundary","PLUGIN","plugins/br1_inverse_design/","Scientific model, ranking, and inverse-design integration remains an optional BR1/tool environment.","BR1 artifacts are current-run bound, review-gated, and never mandatory for Core/minimal.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","212","4","0"
"src/ai4s_agent/adapters/oled_registry_screening.py","adapter and integration boundary","MIGRATE","src/molly/domains/oled/ or src/molly/evidence/","Retain pure domain extraction and validation behavior behind bounded Core v2 contracts.","Domain records preserve units, conditions, source locators, and content lineage.","CORE-05","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","117","3","0"
"src/ai4s_agent/adapters/phase1.py","adapter and integration boundary","PLUGIN","plugins/br1_inverse_design/","Scientific model, ranking, and inverse-design integration remains an optional BR1/tool environment.","BR1 artifacts are current-run bound, review-gated, and never mandatory for Core/minimal.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","3137","9","0"
"src/ai4s_agent/adapters/phase3.py","adapter and integration boundary","MIGRATE","src/molly/acquisition/; src/molly/documents/; src/molly/evidence/","Extract only pure parsing, extraction, and normalization behavior into bounded v2 modules.","Source-format adapters preserve locators, content identity, and evidence provenance.","CORE-03,CORE-04,CORE-05","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","4231","5","0"
"src/ai4s_agent/adapters/runtime.py","adapter and integration boundary","PLUGIN","src/molly/documents/parsers/ or plugins/br1_inverse_design/","Provider and runtime integration stays behind an optional adapter boundary.","Optional provider failures cannot alter Core authority or leak credentials.","CORE-04,CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","188","0","0"
"src/ai4s_agent/adapters/structured_dataset_canary.py","adapter and integration boundary","REFERENCE_ONLY","docs/v2/fixtures/ and future bounded acceptance runners","Canary behavior is evidence input, not a v2 runtime dependency.","Acceptance evidence identifies exact inputs and does not imply fresh scientific parity.","C6","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","2091","8","0"
"src/ai4s_agent/agent_run_inspection.py","read-only inspection and result projection","SIMPLIFY","src/molly/core/inspection.py; src/molly/evidence/","Retain read-only projections over factual artifacts and ledger records.","Inspection is reproducible and cannot authorize, mutate, or reinterpret execution facts.","CORE-01,CORE-07","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","1307","8","0"
