Area,CurrentRepresentativePaths,Decision,V2Destination,MigrationRule,BlockingDependency,AcceptanceEvidence
Project metadata,pyproject.toml; uv.lock,REWRITE,pyproject.toml + optional extras,"Rename/new package as molly; separate core, pdf, observability, br1 and remote extras; minimal install remains small","C5,CORE-01",minimal install excludes MinerU/RDKit/OTel/BR1
Public roadmap,docs/roadmap.md,KEEP,docs/roadmap.md,Retain as sole work-status authority; freeze v1 and activate Core v2 queue in CORE-00,"C0,C1",no competing current-status table
Root README,README.md,REWRITE,README.md,Describe frozen v1 and Core v2 without claiming error-propagation research or experimental validity,"CORE-00,CORE-08",quickstart follows approved Core v2 entrypoint
Security policy,SECURITY.md,MIGRATE,SECURITY.md,"Retain server-owned credentials/path boundaries; add acquisition, SSRF, redirect, licensing and no-bypass rules","C3,C5",security/adversarial tests map to policy
Common utilities,src/ai4s_agent/_utils.py,MIGRATE,src/molly/core/_utils.py,"Copy only pure canonicalization, digest, time and atomic-write helpers with direct requirements",CORE-01,no dependency on ai4s_agent
Schemas monolith,src/ai4s_agent/schemas.py,MIGRATE,src/molly/**/schemas.py,"Migrate only bounded Core/OLED schemas; do not migrate historical receipts, authority or compatibility rosters","C2,CORE-01",schemas owned by bounded packages
Project storage,src/ai4s_agent/storage.py,REWRITE,src/molly/core/ledger.py; artifacts.py,Replace mutable project-stage storage with append-only RunLedger metadata and content-addressed artifacts,"C6,CORE-01","append-only ledger, atomic artifact and digest invariants pass"
Artifact registry,src/ai4s_agent/artifact_registry.py,MIGRATE,src/molly/core/artifacts.py; lineage.py,"Keep content identity and provenance; remove promotion, governance and authority coupling",CORE-01,artifact producer/input/source provenance complete
Attempt publication,src/ai4s_agent/attempt_publication.py,ARCHIVE,src/molly/core/artifacts.py (selected primitives only),Reuse only reviewed atomic-write/no-replace/hash primitives; do not migrate multi-layer publication/adoption authority,"C2,CORE-01",atomic write and digest tests
RunPlan executor,src/ai4s_agent/executor.py,REWRITE,src/molly/core/agent_loop.py; runs.py,"Implement one small execution path: validate proposal, policy check, execute, validate output, publish artifact, append ledger","C6,CORE-02",representative run has one execution path and no second state machine
Planner,src/ai4s_agent/planner.py,ARCHIVE,optional AgentDecision/plan artifact inside AgentLoop,Keep structured planning behavior only; do not migrate Planner as a separate authority or v1 plan compatibility,"C2,CORE-02",planning works through one AgentLoop
Controller,src/ai4s_agent/controller.py; controller-related modules,ARCHIVE,none,Do not migrate the v1 Controller state machine; RunLedger is factual record and AgentLoop is the only execution path,"C1,C2",src/molly imports contain no controller
Replanner,src/ai4s_agent/replanner.py; replanning modules,ARCHIVE,none in Core v2,A later model turn may propose a revised action in the same AgentLoop; no independent Replanner authority or research replay engine,"C2,CORE-02",no Replanner runtime or authority schemas
Permission/authorization/start,"permission, authorization, start-intent modules",DELETE_FROM_V2,src/molly/core/policy.py; approvals.py; runs.py,Replace with RunRequest + closed ToolPolicy + concrete tool-call ApprovalRecord,"C2,C4,CORE-02",representative path has no Permission/Authorization/StartIntent objects
Autonomy policy/L1/L2,scientific_agent_autonomy_*; autonomy policy modules,ARCHIVE,none,Preserve only in frozen v1; Core v2 uses bounded AgentLoop budgets without autonomy levels,"C1,C2",no v2 autonomy imports or schemas
Authority relations,autonomy_authority.py; authority relation modules,ARCHIVE,none,"Do not migrate grants, AuthoritySet or authority-relation graph","C1,C2",no v2 authority graph
Autonomy lease,scientific_agent_autonomy_lease.py,ARCHIVE,none,Do not migrate active-time lease runtime; use RunBudget and explicit cancellation,"C1,C2",no lease schemas or renewal path
Structured feedback/EvidenceGrant,feedback and evidence grant modules,SIMPLIFY,src/molly/core/reviews.py; validation.py,Replace EvidenceGrant and usage receipts with digest-bound ReviewRecord and ValidationResult,"C4,CORE-01,CORE-05",scientific review is bound to exact artifact digest
Failure recovery runtime,failure recovery modules,SIMPLIFY,src/molly/core/agent_loop.py; runs.py,"Remove autonomous recovery agents and successor authority; retain bounded retry, idempotency, cancellation and explicit resume from successful artifacts","C4,C6,CORE-02",retry/resume tests pass without recovery state machine
Inspection projections,agent_run_inspection.py; read-only inspection modules,REWRITE,src/molly/core/inspection.py,Derive read-only run/step/artifact reports from RunLedger and ArtifactLineage,"CORE-01,CORE-07",inspection is reproducible and non-authoritative
Observability,OpenTelemetry/LangSmith modules,PLUGIN,src/molly/observability/,Retain observer-only exporters; source data is RunLedger and exporters cannot affect outcomes,CORE-07,exporter failure is non-fatal and privacy-safe
Conversation store,conversation_store.py; conversation runtime,DEFER,optional interface layer,Conversation may later project into RunRequest but is not execution authority in Core v2,after CORE-05,core acceptance runs without conversation storage
API and app,api.py; api_route_extensions.py; app.py,REWRITE,src/molly/cli.py; optional api.py,CLI first; add only minimal run/read/approve/review endpoints after core contracts stabilize,CORE-07,core acceptance runs without UI
UI assets,templates/; static/; UI route modules,DEFER,future optional UI,Do not migrate before Core v2 representative acceptance; UI must remain a projection,after CORE-07,not on core critical path
